hex_id,distinct_land_components_in_hex,mainland_fragment_id,mainland_km2,other_components,other_component_km2,largest_other_component_km2,second_fragment_id_if_authorised,key_is_a_function_of_both,second_fragment_produced,reason
h6000_q-000620_r+000903,2,lfr_7f1a008e306b46,5.941741,1,0.098673,0.098673,lfr_48530776716940,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000667_r+001043,2,lfr_19e16c03e45298,7.854764,1,0.082342,0.082342,lfr_c393bfaf0bef2a,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000606_r+001035,10,lfr_de60e373cfc135,5.916711,9,0.078611,0.05551,lfr_f138b0608e26be,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000674_r+001016,3,lfr_5b9db27f2267a0,7.152671,2,0.072893,0.072302,lfr_3c0e3f1bc28350,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000618_r+000900,2,lfr_9c8686d60ea7eb,4.808121,1,0.064243,0.064243,lfr_7106ac2bf7ad94,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000632_r+001040,5,lfr_36e94b0dc6dfd5,0.343363,4,0.060282,0.055389,lfr_b98ea559df1efb,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000683_r+001028,49,lfr_d673ac915182a2,6.2939,48,0.054239,0.016728,lfr_3d1abab3ae39ae,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000670_r+001011,7,lfr_4021e28757b1ae,5.210299,6,0.047412,0.025871,lfr_26f8510210142f,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000515_r+000835,8,lfr_080a0dfacfdc9b,0.774775,7,0.046083,0.019246,lfr_d02142796d2caf,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000553_r+001032,2,lfr_0ef5341a09bdbd,4.452759,1,0.044391,0.044391,lfr_19beec37a117d0,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000661_r+001002,9,lfr_a84e382b39b418,6.692727,8,0.040976,0.028634,lfr_5c5c07f5a0eb0a,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000609_r+000894,2,lfr_4ed40940e43b8d,5.292494,1,0.038614,0.038614,lfr_2f61ef2caf6807,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000605_r+001035,5,lfr_4dbcf12de42db7,0.64217,4,0.038021,0.020146,lfr_126f6ac2164fda,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000600_r+001034,59,lfr_d9722f2f3c33bc,6.056177,58,0.033786,0.014317,lfr_0d16edc7574023,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000602_r+001034,3,lfr_b39c1737b2becb,6.928756,2,0.031764,0.03144,lfr_f2cb8ba8dfc115,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000609_r+000893,3,lfr_e461d03d5cef08,2.54247,2,0.031758,0.027694,lfr_dbc0d32380d3c2,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000684_r+001028,6,lfr_dba8711ad931ee,4.133549,5,0.029975,0.02061,lfr_b6344d45d883e3,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000685_r+001024,2,lfr_6c6673eb2236eb,0.107729,1,0.02762,0.02762,lfr_f103111a32a32f,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000673_r+001039,4,lfr_3993877728d596,3.325727,3,0.027503,0.015389,lfr_58f4fd7f52c139,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000672_r+001034,8,lfr_01ef58c9d228b7,3.261658,7,0.026575,0.016279,lfr_b98c413e487843,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000671_r+001043,7,lfr_2085a0d6e02810,7.578073,6,0.026124,0.008298,lfr_fb1b01f84cf9d4,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000669_r+001007,27,lfr_4ef68db88da26e,7.350175,26,0.02534,0.009301,lfr_13b9bedafd0153,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000550_r+001034,2,lfr_016af47b803474,0.916813,1,0.024882,0.024882,lfr_77fbfdc356cbab,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000610_r+000895,2,lfr_34cf294618888d,2.730919,1,0.02401,0.02401,lfr_b655a17abbb355,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000679_r+001018,6,lfr_4f0aa0c27d8495,1.057517,5,0.022817,0.01325,lfr_22d01c4e9547e6,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000443_r+001004,103,lfr_a2ee588abf3fab,2.700375,102,0.021442,0.004667,lfr_3e074aa1a54ab7,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000682_r+001029,38,lfr_b0c65415bf0577,3.177597,37,0.021352,0.005017,lfr_b9169da7e79ff1,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000539_r+000844,2,lfr_62c218bec1dad9,8.777677,1,0.021097,0.021097,lfr_5ba5b31cc14774,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000671_r+001010,7,lfr_10e9685fa023e6,7.546815,6,0.019419,0.007991,lfr_1dd09d1cc2f0ce,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000673_r+001037,2,lfr_b3cf476701d2b8,7.192193,1,0.019392,0.019392,lfr_cebaf9adc61ca2,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000594_r+000855,3,lfr_dc2474711a72c7,9.45429,2,0.019133,0.018002,lfr_95d7997977705c,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000674_r+001032,13,lfr_f54b324c1784a8,7.783602,12,0.018591,0.006044,lfr_beb6e7b0f7123d,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000678_r+001017,5,lfr_dfe28bf68325fa,1.874927,4,0.018382,0.009954,lfr_038f0366e1bd13,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000674_r+001012,2,lfr_16f13710d7fc49,3.10652,1,0.01824,0.01824,lfr_ccbc19a2f0371a,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000682_r+001028,6,lfr_551efb45de16b7,6.386802,5,0.015397,0.007494,lfr_afd1de4972f39c,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000610_r+000893,2,lfr_36950647cafc6f,5.872191,1,0.015138,0.015138,lfr_15ea487e16f5c0,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000684_r+001025,5,lfr_7694fde071653f,5.683258,4,0.015023,0.014658,lfr_46b5b69c725638,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000670_r+001044,5,lfr_4783ebde9cfec3,0.687007,4,0.014642,0.009463,lfr_c90e627a00cab4,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000652_r+001039,18,lfr_330699ef483fa7,2.242474,17,0.01315,0.001943,lfr_647d38a2361593,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000673_r+001034,18,lfr_b574f23a83f5e8,1.312053,17,0.013106,0.003442,lfr_871e1ebfb455b7,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000555_r+001031,4,lfr_f4e01ab1718d29,6.903608,3,0.01296,0.007269,lfr_4ab6b32933a9c6,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000462_r+000854,2,lfr_afd8485151b41b,6.059299,1,0.011556,0.011556,lfr_64b0f946cba229,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000683_r+001022,20,lfr_c3f46ca42eb28c,4.750654,19,0.010856,0.005448,lfr_5aa36a02c10dcb,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000672_r+001041,6,lfr_11479d7d2301e8,0.553312,5,0.009744,0.002408,lfr_c6fc45ff233a33,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000616_r+000893,62,lfr_540de5ade98542,7.744633,61,0.009495,0.002499,lfr_06213772a21495,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000515_r+000831,5,lfr_e0d2792a96fe0b,4.941296,4,0.009389,0.009061,lfr_7b24a30c436365,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000624_r+001039,4,lfr_59d934f06fc3bf,1.033328,3,0.009388,0.008837,lfr_e4bea212870177,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000669_r+001033,9,lfr_044fbd1f96aa1d,6.115161,8,0.008819,0.004341,lfr_85f6144366773b,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000681_r+001029,46,lfr_3355a5afb7b639,6.411316,45,0.00838,0.001606,lfr_6fd021d6ac2f05,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000633_r+001039,10,lfr_297755a4de62d1,3.830515,9,0.008175,0.003775,lfr_366fa59facd73b,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000670_r+001034,14,lfr_90f9bf96482995,0.113506,13,0.007894,0.00182,lfr_e5969b47768ead,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000608_r+001036,4,lfr_81d680606846db,0.014178,3,0.007644,0.003065,lfr_dffc948d912089,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000671_r+001042,4,lfr_d6e9b58a80da4f,4.639564,3,0.007493,0.005512,lfr_569cb1ae0fdfcd,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000444_r+001006,20,lfr_97f69195d637ab,3.97276,19,0.007445,0.002142,lfr_fb1bf2a82d3eb6,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000441_r+001000,18,lfr_d59e1cd8ce8374,1.670299,17,0.007353,0.002915,lfr_f009f4f5c53ce4,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000656_r+001041,2,lfr_59995d08b84270,0.475829,1,0.007211,0.007211,lfr_eaa57c2e30e343,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000665_r+001002,10,lfr_fd36dae2f6cee4,4.926613,9,0.006889,0.002125,lfr_e5095f1c5ecf71,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000668_r+001045,3,lfr_1eec2c5663625e,0.841475,2,0.006803,0.005454,lfr_ab12c8f3b7d9a1,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000671_r+001034,9,lfr_c47c4f6507ccda,6.242467,8,0.006535,0.003734,lfr_91b1e701b1388d,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000676_r+001015,5,lfr_6a0457d26c97e7,7.581868,4,0.006058,0.002591,lfr_a98dfa3e29cf46,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000611_r+000894,2,lfr_83d7ad1bf8a515,3.689331,1,0.005896,0.005896,lfr_e2f991f83eb009,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000674_r+001039,5,lfr_3399c3488a3937,2.42113,4,0.005844,0.003332,lfr_3a09c8d03c0797,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000601_r+001034,8,lfr_74a3a3a38cc18a,7.347567,7,0.005493,0.00528,lfr_de30a813dc55f3,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000674_r+001033,54,lfr_b66c728ee0386e,4.265356,53,0.00511,0.00122,lfr_63fcb2c0f2f6f1,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000669_r+001008,3,lfr_01413daa3f4349,0.85777,2,0.005056,0.003657,lfr_92e279d8d6bacf,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000683_r+001021,19,lfr_35164ee115a577,2.210143,18,0.004861,0.001288,lfr_476c601c02abcb,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000613_r+000894,2,lfr_5da82b22644a91,0.515293,1,0.004767,0.004767,lfr_1023a978717f42,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000609_r+001036,8,lfr_ff94acfbb770f0,2.225367,7,0.004434,0.001255,lfr_9fa7f6b4cb1d57,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000637_r+001039,4,lfr_1b5f1a3e8eaa6f,3.831259,3,0.004133,0.002465,lfr_fa33c7d1bcbca4,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000671_r+001009,2,lfr_a2e7b8ee013ac8,3.321426,1,0.004124,0.004124,lfr_432c1be43eeb1d,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000639_r+001039,3,lfr_342883ebe4df85,4.01532,2,0.00411,0.003759,lfr_0efcf441ec17bd,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000669_r+001006,10,lfr_d812f665c8e0ab,0.459556,9,0.004098,0.001841,lfr_c1589a294bf9c3,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000440_r+000997,39,lfr_d900f86af58c32,2.696738,38,0.003953,0.001303,lfr_5d71c1ec97feb2,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000642_r+001039,2,lfr_6197d2ada97faf,4.363095,1,0.003715,0.003715,lfr_76e5855e3e1885,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000610_r+001036,2,lfr_1d46d8d4decff2,5.391026,1,0.003675,0.003675,lfr_82744955daef3f,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000638_r+001039,6,lfr_9e19b5b5805251,2.708778,5,0.003672,0.001899,lfr_042ef10c1b0865,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000684_r+001026,7,lfr_4fb29f6f02ee70,2.269409,6,0.003469,0.001823,lfr_7e303dffb6e32b,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000684_r+001024,3,lfr_26254df055190f,6.326589,2,0.003404,0.003247,lfr_9e1dd014a80bd3,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000669_r+001045,4,lfr_0567847a07acb5,4.854363,3,0.003304,0.002297,lfr_dc6f4aac7f68ed,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000515_r+000829,2,lfr_2cbc3945a0c4b4,0.001032,1,0.003257,0.003257,lfr_99d18721a86dbd,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000492_r+000847,5,lfr_92b3b71b0035a0,7.326925,4,0.003223,0.00145,lfr_7b42312c458150,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000653_r+001039,4,lfr_1859fdf30b41fd,5.141077,3,0.003195,0.00211,lfr_964cf7dc879b54,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000548_r+001034,2,lfr_90f075d49ce701,6.868962,1,0.003126,0.003126,lfr_5ec324f1efc15f,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000459_r+000869,2,lfr_9bb36939bf2808,2.295337,1,0.002841,0.002841,lfr_d1c2b83e752193,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000668_r+001006,3,lfr_9f21bad5c3f1af,2.658384,2,0.002807,0.002397,lfr_16f5e8faf78eb9,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000665_r+001003,4,lfr_54b758d3ee0ef0,6.436711,3,0.002579,0.001817,lfr_44ad06df24fa8a,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000620_r+000900,7,lfr_0dbcc64552ae5e,8.443915,6,0.002504,0.000963,lfr_d23be0abb02235,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000676_r+001032,2,lfr_25ee68cfecd971,1.279419,1,0.002418,0.002418,lfr_954b5e19c033d9,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000440_r+001000,34,lfr_efca987a933a05,4.603636,33,0.002231,0.000508,lfr_ae346c04ce70b4,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000662_r+001001,2,lfr_cce963451e23aa,4.792737,1,0.002057,0.002057,lfr_edc209c04a7668,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000445_r+001007,10,lfr_cb027196d38520,6.587715,9,0.001808,0.000463,lfr_5ce32d883f334f,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000587_r+000857,3,lfr_e45abb003430d5,2.448399,2,0.001783,0.001528,lfr_1128f0ca1ccb29,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000615_r+000893,4,lfr_be4f35718c26f6,4.222484,3,0.001773,0.000919,lfr_50776e765bc474,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000462_r+000851,2,lfr_c11161e8f728d4,0.133675,1,0.001745,0.001745,lfr_a8b254ea08bf8f,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000611_r+001036,4,lfr_d1e683299a0bc4,5.150379,3,0.001626,0.000742,lfr_23e6254e0e760c,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000462_r+000850,2,lfr_d6c7c9e6890446,4.433143,1,0.00131,0.00131,lfr_805a5abd0ecd09,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
h6000_q-000505_r+000843,2,lfr_ae069d895fb0da,0.102871,1,0.001304,0.001304,lfr_d9e09aabfcdfd5,YES,NO,"the islet is a different physical component with no historical evidence bundle and no political authority in this stage; its land is measured and left unowned, which is exactly what a fragment model is for"
