relationship_id,scenario_id,from_scenario_polity_id,to_scenario_polity_id,relationship_type,directionality,constitutional_or_administrative,source_confidence,source_id,evidence_locator,notes
rel_06ff272c87f0,seven_years_war_1756_08_01,sp_64a5681c54c8,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_c8a85b6726d3,seven_years_war_1756_08_01,sp_86475daae411,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_832c0b70d379,seven_years_war_1756_08_01,sp_e4467b16bcc2,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_09b17f8527e8,seven_years_war_1756_08_01,sp_e3ccb4be0e64,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_cce06e4818b1,seven_years_war_1756_08_01,sp_b443a8d8ffe0,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_19915acc99db,seven_years_war_1756_08_01,sp_99bdcc684b27,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,MEDIUM,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. (Burgundian circle) [locator: work-level attribution at catalogue stage]
rel_f525eca3e1e4,seven_years_war_1756_08_01,sp_185738439d15,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_f94c624cf6de,seven_years_war_1756_08_01,sp_3b59f6554858,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_c095633620bc,seven_years_war_1756_08_01,sp_fc8d14b938b7,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,MEDIUM,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. (Italian imperial fief) [locator: work-level attribution at catalogue stage]
rel_fada98c65511,seven_years_war_1756_08_01,sp_ef0de1f1f6c5,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate/territory of the Empire. Membership NEVER creates territorial control by the Empire. [locator: work-level attribution at catalogue stage]
rel_9df93af3fa44,seven_years_war_1756_08_01,sp_185738439d15,sp_76fae1189246,COMPOSITE_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_0478d4eda69b,UNKNOWN,"Constituent of the Habsburg composite monarchy; keeps its own legal identity, control duplication forbidden. [locator: work-level attribution at catalogue stage]"
rel_9eef44c576ce,seven_years_war_1756_08_01,sp_b8fbd2677d89,sp_76fae1189246,COMPOSITE_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_0478d4eda69b,UNKNOWN,"Constituent of the Habsburg composite monarchy; keeps its own legal identity, control duplication forbidden. [locator: work-level attribution at catalogue stage]"
rel_f3828e6b0a4f,seven_years_war_1756_08_01,sp_3b59f6554858,sp_76fae1189246,COMPOSITE_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_0478d4eda69b,UNKNOWN,"Constituent of the Habsburg composite monarchy; keeps its own legal identity, control duplication forbidden. [locator: work-level attribution at catalogue stage]"
rel_ee3adc7d84bf,seven_years_war_1756_08_01,sp_99bdcc684b27,sp_76fae1189246,COMPOSITE_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_0478d4eda69b,UNKNOWN,"Constituent of the Habsburg composite monarchy; keeps its own legal identity, control duplication forbidden. [locator: work-level attribution at catalogue stage]"
rel_9f11853b7993,seven_years_war_1756_08_01,sp_fc8d14b938b7,sp_76fae1189246,COMPOSITE_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_0478d4eda69b,UNKNOWN,"Constituent of the Habsburg composite monarchy; keeps its own legal identity, control duplication forbidden. [locator: work-level attribution at catalogue stage]"
rel_fe9b6b9c22c9,seven_years_war_1756_08_01,sp_cc7532a9b0a0,sp_bfcc10d15695,COMPOSITE_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_d756921e5f15,UNKNOWN,"Electorate inside the Empire, ruled as part of the Hohenzollern monarchy (modeling per Clark, interpretation DERIVED). [locator: work-level attribution at catalogue stage]"
rel_ff1bfe5f4132,seven_years_war_1756_08_01,sp_9fbdef6cff18,sp_bfcc10d15695,COMPOSITE_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_d756921e5f15,UNKNOWN,"Royal Prussia outside the Empire, part of the same monarchy. [locator: work-level attribution at catalogue stage]"
rel_7ce268ae3908,seven_years_war_1756_08_01,sp_ef0de1f1f6c5,sp_19c7e5bd4aed,DEPENDENCY_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_cf694f0b686f,UNKNOWN,Held by the Swedish crown; simultaneously an imperial fief. [locator: work-level attribution at catalogue stage]
rel_b591779d23fe,seven_years_war_1756_08_01,sp_44d0fd646611,sp_1effdbf1a454,DEPENDENCY_OF,DIRECTED,CONSTITUTIONAL,MEDIUM,src_497229e79aa1,UNKNOWN,Fief of the Commonwealth. [locator: work-level attribution at catalogue stage]
rel_e9c232962b2c,seven_years_war_1756_08_01,sp_00b6c6e536cd,sp_a774bbb1992f,TRIBUTARY_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_497229e79aa1,UNKNOWN,Tributary principality. [locator: work-level attribution at catalogue stage]
rel_8e3a0a787b24,seven_years_war_1756_08_01,sp_da916b9a805b,sp_a774bbb1992f,TRIBUTARY_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_497229e79aa1,UNKNOWN,Tributary principality. [locator: work-level attribution at catalogue stage]
rel_d4ebe3c126e6,seven_years_war_1756_08_01,sp_f6ade356ca8d,sp_a774bbb1992f,TRIBUTARY_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_497229e79aa1,UNKNOWN,Tributary republic. [locator: work-level attribution at catalogue stage]
rel_d971ac9d482f,seven_years_war_1756_08_01,sp_33fb24f91fed,sp_a774bbb1992f,SUBJECT_OF,DIRECTED,CONSTITUTIONAL,MEDIUM,src_497229e79aa1,UNKNOWN,"Vassal khanate with wide autonomy; framed SUBJECT_OF rather than simple tributary, confidence MEDIUM. [locator: work-level attribution at catalogue stage]"
rel_6db27f4b076c,seven_years_war_1756_08_01,sp_ee513fe516d4,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_0deeef6bdf59,seven_years_war_1756_08_01,sp_6e419a166c7f,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_72ea31ac2a9d,seven_years_war_1756_08_01,sp_1aa01187f9f2,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_d87954be979d,seven_years_war_1756_08_01,sp_77f90414739e,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_9de0eb0c235d,seven_years_war_1756_08_01,sp_03ceebb10abf,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_73d20b0d7421,seven_years_war_1756_08_01,sp_9a85ef5ea74f,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_25de41e7372c,seven_years_war_1756_08_01,sp_2d6a4b2c5a81,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_65ea099269d3,seven_years_war_1756_08_01,sp_ef4ef4aaffe8,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_76097f7cebaa,seven_years_war_1756_08_01,sp_e5f547cfd778,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_11348f352a86,seven_years_war_1756_08_01,sp_026caa63e959,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_b318429ec3b3,seven_years_war_1756_08_01,sp_23927c87d452,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_2a22eae2a6c2,UNKNOWN,Imperial estate of the Empire (individually audited in MAPGEN-009R). Membership NEVER creates territorial control. [locator: work-level attribution]
rel_7eea47e352f5,seven_years_war_1756_08_01,sp_539bf465a695,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,MEDIUM,src_2a22eae2a6c2,UNKNOWN,imperial estate of the Empire; membership NEVER creates territorial control [locator: work-level attribution]
rel_5b938bbff1ab,seven_years_war_1756_08_01,sp_832cb8d1cb5e,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_991491082cb6,"NDB 24 (2010), pp. 12-14: hereditary Reichsfuerstenstand and seat and vote in the Reichsfuerstenrat from 1754",Imperial estate. Membership of the Empire is not ownership by the Empire.
rel_ec81f20a5fc1,seven_years_war_1756_08_01,sp_696d8a0ebe5d,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,HIGH,src_991491082cb6,"NDB 24 (2010), pp. 12-14: hereditary Reichsfuerstenstand and seat and vote in the Reichsfuerstenrat from 1754",Imperial estate. Membership of the Empire is not ownership by the Empire.
rel_c831b59adad8,seven_years_war_1756_08_01,sp_539bf465a695,sp_e05280d06df8,PERSONAL_UNION,SYMMETRIC,DYNASTIC,MEDIUM,src_6727db01650d,Archivportal Thueringen Bestand 26508; Deutsche Biographie sfz39202,"One ruler, two territories with separate central authorities until 1849/50. Not a merged state."
rel_13e5dbada096,seven_years_war_1756_08_01,sp_e05280d06df8,sp_f21df1066af6,IMPERIAL_MEMBER_OF,DIRECTED,CONSTITUTIONAL,MEDIUM,src_6727db01650d,Ernestine duchy of the Upper Saxon Circle,Imperial estate; membership is not ownership by the Empire.
