scenario_id,scenario_polity_id,polity_id,display_name,short_name,existence_status,government_type_if_known,capital_binding_type,capital_reference_id,capital_lat,capital_lon,parent_scenario_polity_id,subject_status,source_confidence,notes,territorial_authority_role,playability_status,display_name_ja,historical_title_at_snapshot
seven_years_war_1756_08_01,sp_5f0f4d8d4788,pol_sardinia,Kingdom of Sardinia (Savoy-Piedmont),Sardinia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Savoyard state: island of Sardinia + mainland Piedmont-Savoy.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,サルデーニャ王国,
seven_years_war_1756_08_01,sp_1d54a3e119a7,pol_venice,Republic of Venice,Venice,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Terraferma + Adriatic/Ionian possessions.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ヴェネツィア共和国,
seven_years_war_1756_08_01,sp_26d633dddaff,pol_genoa,Republic of Genoa,Genoa,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Includes Corsica de jure; the island's contested state in 1756 is tracked as a separate UNRESOLVED audit candidate.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ジェノヴァ共和国,
seven_years_war_1756_08_01,sp_ca68102900b2,pol_tuscany,Grand Duchy of Tuscany,Grand Tuscany,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Held by Francis Stephen of Lorraine (Holy Roman Emperor). Its constitutional tie to the Habsburg complex is deliberately UNEVALUATED here — no relationship row is asserted.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,トスカーナ大公国,
seven_years_war_1756_08_01,sp_6516ac280429,pol_papal_states,Papal States,Papal States,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Includes exclaves (Benevento/Pontecorvo inside Naples; Avignon and the Comtat inside France).,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,教皇領,
seven_years_war_1756_08_01,sp_def69cc80f28,pol_naples,Kingdom of Naples,Naples,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Bourbon kingdom in personal union with Sicily under Charles.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ナポリ王国,
seven_years_war_1756_08_01,sp_14ee92dede27,pol_sicily,Kingdom of Sicily,Sicily,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Separate kingdom sharing its monarch with Naples (personal union).,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,シチリア王国,
seven_years_war_1756_08_01,sp_92c82d956999,pol_parma,"Duchy of Parma, Piacenza and Guastalla","Parma, Piacenza and Guastalla",EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,Bourbon secundogeniture; representability not yet assessed against an atlas source.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,パルマ公国,
seven_years_war_1756_08_01,sp_679b088ead28,pol_modena,Duchy of Modena and Reggio,Modena and Reggio,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,モデナ公国,
seven_years_war_1756_08_01,sp_f21df1066af6,pol_holy_roman_empire,Holy Roman Empire,Holy Roman Empire,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,"Constitutional/legal structure of the German lands. STRUCTURAL CONTAINER ONLY: the Empire is NOT the owner or controller of member territory, and no territorial control may ever be derived from imperial membership.",STRUCTURAL_CONTAINER,UNDECIDED,神聖ローマ帝国,Emperor Franz I (Francis Stephen of Lorraine)
seven_years_war_1756_08_01,sp_76fae1189246,pol_habsburg_monarchy,Habsburg Monarchy,Habsburg Monarchy,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,"Composite monarchy of Maria Theresa acting as a single European power; constituents modeled via COMPOSITE_MEMBER_OF, never as one modern-Austria polygon.",COMPOSITE_TERRITORIAL_ACTOR,UNDECIDED,ハプスブルク君主国,"Maria Theresa, Queen of Hungary and Bohemia, Archduchess of Austria"
seven_years_war_1756_08_01,sp_185738439d15,pol_bohemia,Kingdom of Bohemia,Bohemia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Bohemian crown lands; imperial electorate.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ボヘミア王国,
seven_years_war_1756_08_01,sp_b8fbd2677d89,pol_hungary,Kingdom of Hungary,Hungary,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Hungarian crown lands under the Habsburg monarch; OUTSIDE the Holy Roman Empire (no IMPERIAL_MEMBER_OF row on purpose).,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ハンガリー王国,
seven_years_war_1756_08_01,sp_3b59f6554858,pol_austria_archduchy,Archduchy of Austria,Archduchy of Austria,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Core Austrian hereditary lands (simplified aggregate of the Erblande at catalogue stage; finer division deferred).,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,オーストリア大公国,
seven_years_war_1756_08_01,sp_fc8d14b938b7,pol_milan,Duchy of Milan,Milan,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Habsburg Lombardy; imperial fief.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ミラノ公国,
seven_years_war_1756_08_01,sp_bfcc10d15695,pol_prussia_monarchy,Prussian Monarchy (Hohenzollern lands),Prussian Monarchy,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Modeling construct per Clark: the composite of Hohenzollern territories acting as one monarchy under Frederick II. NOT generated from modern Germany; constituents keep their legal identities.,COMPOSITE_TERRITORIAL_ACTOR,UNDECIDED,プロイセン(ホーエンツォレルン君主国),"Friedrich II, King in Prussia and Elector of Brandenburg"
seven_years_war_1756_08_01,sp_cc7532a9b0a0,pol_brandenburg,Margraviate of Brandenburg (Electorate),Margraviate of Brandenburg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Electorate inside the Empire.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ブランデンブルク選帝侯領,
seven_years_war_1756_08_01,sp_9fbdef6cff18,pol_prussia_kingdom_proper,Kingdom of Prussia (Ducal/East Prussia),Prussia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,"Former Ducal Prussia outside the Holy Roman Empire; NOT Royal (Polish) Prussia, which belonged to the Commonwealth in 1756.",DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,プロイセン王国本領(東プロイセン),held under the royal title 'King in Prussia' (1701)
seven_years_war_1756_08_01,sp_992101257e91,pol_saxony,Electorate of Saxony,Saxony,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ruled by Augustus III in personal union with Poland-Lithuania; the two territories are NEVER merged.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ザクセン選帝侯領,"Friedrich August II, Elector of Saxony (= Augustus III of Poland)"
seven_years_war_1756_08_01,sp_85e4cfc5bdb1,pol_bavaria,Electorate of Bavaria,Bavaria,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,バイエルン選帝侯領,
seven_years_war_1756_08_01,sp_85427a13732a,pol_palatinate,Electorate of the Palatinate,the Palatinate,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Scattered Rhenish territories.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,プファルツ選帝侯領,
seven_years_war_1756_08_01,sp_72ebae9108c2,pol_cologne,Electorate of Cologne,Cologne,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ecclesiastical electorate.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ケルン選帝侯領,
seven_years_war_1756_08_01,sp_99913589df76,pol_mainz,Electorate of Mainz,Mainz,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ecclesiastical electorate.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,マインツ選帝侯領,
seven_years_war_1756_08_01,sp_562cbb0b9dbd,pol_trier,Electorate of Trier,Trier,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ecclesiastical electorate.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,トリーア選帝侯領,
seven_years_war_1756_08_01,sp_64a5681c54c8,pol_wurttemberg,Duchy of Württemberg,Württemberg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Embedded in the Swabian territorial mosaic.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ヴュルテンベルク公国,
seven_years_war_1756_08_01,sp_86475daae411,pol_hesse_kassel,Landgraviate of Hesse-Kassel,Landgraviate of Hesse-Kassel,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Seven Years War belligerent.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ヘッセン=カッセル方伯領,
seven_years_war_1756_08_01,sp_e4467b16bcc2,pol_mecklenburg_schwerin,Duchy of Mecklenburg-Schwerin,Mecklenburg-Schwerin,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,メクレンブルク=シュヴェリーン公国,
seven_years_war_1756_08_01,sp_e3ccb4be0e64,pol_brunswick_wolfenbuettel,Principality of Brunswick-Wolfenbüttel,Brunswick-Wolfenbüttel,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Seven Years War belligerent.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ブラウンシュヴァイク=ヴォルフェンビュッテル侯領,
seven_years_war_1756_08_01,sp_44c79eb0f89c,pol_denmark_norway,Kingdom of Denmark-Norway,Denmark-Norway,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Twin kingdoms governed as one monarchy from Copenhagen; the Schleswig-Holstein condominium complexity is a separate UNRESOLVED audit candidate.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,デンマーク=ノルウェー王国,
seven_years_war_1756_08_01,sp_19c7e5bd4aed,pol_sweden,Kingdom of Sweden,Sweden,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Includes Finland; German possession tracked as Swedish Pomerania.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,スウェーデン王国,
seven_years_war_1756_08_01,sp_ef0de1f1f6c5,pol_swedish_pomerania,Swedish Pomerania,Swedish Pomerania,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Held by the Swedish crown as an imperial fief — simultaneously a dependency of Sweden and a member territory of the Empire.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,スウェーデン領ポンメルン,
seven_years_war_1756_08_01,sp_414738123045,pol_russia,Russian Empire,Russian Empire,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ロシア帝国,
seven_years_war_1756_08_01,sp_1effdbf1a454,pol_plc,Polish-Lithuanian Commonwealth,Polish-Lithuanian Commonwealth,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Real union of the Polish Crown and the Grand Duchy of Lithuania treated as one Commonwealth actor; internal duality noted but not subdivided at catalogue stage.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ポーランド・リトアニア共和国,"Augustus III, King of Poland and Grand Duke of Lithuania"
seven_years_war_1756_08_01,sp_44d0fd646611,pol_courland,Duchy of Courland and Semigallia,Courland and Semigallia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,Fief of the Polish-Lithuanian Commonwealth.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,クールラント公国,
seven_years_war_1756_08_01,sp_a774bbb1992f,pol_ottoman,Ottoman Empire,Ottoman Empire,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,European sphere in scope for this catalogue; Anatolian/Arab lands out of scope at this stage.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,オスマン帝国,
seven_years_war_1756_08_01,sp_00b6c6e536cd,pol_moldavia,Principality of Moldavia,Moldavia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ottoman tributary principality with internal autonomy.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,モルダヴィア公国,
seven_years_war_1756_08_01,sp_da916b9a805b,pol_wallachia,Principality of Wallachia,Wallachia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ottoman tributary principality with internal autonomy.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ワラキア公国,
seven_years_war_1756_08_01,sp_33fb24f91fed,pol_crimea,Crimean Khanate,Crimean Khanate,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,"Vassal khanate of the Ottoman Empire with wide autonomy; the exact legal framing is nuanced, hence MEDIUM.",DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,クリミア・ハン国,
seven_years_war_1756_08_01,sp_23c83e0588b9,pol_swiss_confederacy,Swiss Confederacy,Swiss Confederacy,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Confederal structure of thirteen cantons and associates. Registered STRUCTURAL_ONLY: whether cantons or the Confederacy become the gameplay territorial actor is deliberately undecided; cantons are tracked as an aggregation-candidate class.,STRUCTURAL_CONTAINER,UNDECIDED,スイス盟約者団,
seven_years_war_1756_08_01,sp_f6ade356ca8d,pol_ragusa,Republic of Ragusa,Ragusa,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,Tributary of the Ottoman Empire.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ラグーザ共和国,
seven_years_war_1756_08_01,sp_20bf1d9af6ea,pol_order_st_john,Order of Saint John (Malta),Order of Saint John,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,Sovereign military-religious order holding the Maltese islands.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,聖ヨハネ騎士団(マルタ),
seven_years_war_1756_08_01,sp_ee513fe516d4,pol_muenster,Prince-Bishopric of Münster,Münster,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Major Westphalian ecclesiastical principality; Seven Years War theatre. Extracted from the former class row (MAPGEN-009R).,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ミュンスター司教領,
seven_years_war_1756_08_01,sp_6e419a166c7f,pol_wuerzburg,Prince-Bishopric of Würzburg,Würzburg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Extracted from the former class row (MAPGEN-009R).,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ヴュルツブルク司教領,
seven_years_war_1756_08_01,sp_1aa01187f9f2,pol_bamberg,Prince-Bishopric of Bamberg,Bamberg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Extracted from the former class row (MAPGEN-009R).,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,バンベルク司教領,
seven_years_war_1756_08_01,sp_77f90414739e,pol_salzburg,Prince-Archbishopric of Salzburg,Salzburg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Extracted from the former class row (MAPGEN-009R).,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ザルツブルク大司教領,
seven_years_war_1756_08_01,sp_03ceebb10abf,pol_hesse_darmstadt,Landgraviate of Hesse-Darmstadt,Hesse-Darmstadt,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Non-electoral but substantial; sibling of Hesse-Kassel.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ヘッセン=ダルムシュタット方伯領,
seven_years_war_1756_08_01,sp_9a85ef5ea74f,pol_mecklenburg_strelitz,Duchy of Mecklenburg-Strelitz,Mecklenburg-Strelitz,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Separate duchy since 1701; distinct from Mecklenburg-Schwerin.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,メクレンブルク=シュトレリッツ公国,
seven_years_war_1756_08_01,sp_2d6a4b2c5a81,pol_baden_durlach,Margraviate of Baden-Durlach,Baden-Durlach,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,"Separate from Baden-Baden until the 1771 reunification — two polities in 1756, never merged here.",DIRECT_TERRITORIAL_ACTOR,UNDECIDED,バーデン=ドゥルラハ辺境伯領,
seven_years_war_1756_08_01,sp_ef4ef4aaffe8,pol_baden_baden,Margraviate of Baden-Baden,Baden-Baden,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Catholic Baden line; separate polity in 1756.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,バーデン=バーデン辺境伯領,
seven_years_war_1756_08_01,sp_e5f547cfd778,pol_hamburg,Free Imperial City of Hamburg,Hamburg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Individually audited — the free-cities class blanket judgment was withdrawn in MAPGEN-009R.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,自由帝国都市ハンブルク,
seven_years_war_1756_08_01,sp_026caa63e959,pol_nuremberg,Free Imperial City of Nuremberg,Nuremberg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Individually audited (MAPGEN-009R).,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,自由帝国都市ニュルンベルク,
seven_years_war_1756_08_01,sp_99a3820b9e93,pol_san_marino,Republic of San Marino,San Marino,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Modern area used as sanity check only — legitimate here because the extent is documented as continuous since the 15th century.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,サンマリノ共和国,
seven_years_war_1756_08_01,sp_da265eabded8,pol_andorra,Principality of Andorra (co-principality),Andorra,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Co-princes: Bishop of Urgell and the French crown (structure noted; no relationship row asserted at this stage).,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,アンドラ公国(共同公国),
seven_years_war_1756_08_01,sp_23927c87d452,pol_liechtenstein,Principality of Liechtenstein,Liechtenstein,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Imperial principality since 1719.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,リヒテンシュタイン侯国,
seven_years_war_1756_08_01,sp_e96baee41c6d,pol_corsican_republic,Corsican Republic (Paoli government),Corsican Republic,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,De-facto polity from 1755 under Pasquale Paoli controlling the interior; Genoa retained coastal citadels and the de-jure claim. Future control rows will model both sides separately; NO whole-island grant to either side by fiat.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,コルシカ共和国(パオリ政権),
seven_years_war_1756_08_01,sp_99c1c7705f9d,pol_lucca,Republic of Lucca,Lucca,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Independent republic throughout the 18th century; UNRESOLVED status resolved by consulting the registered atlas (MAPGEN-009R).,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ルッカ共和国,
