scenario_id,scenario_polity_id,polity_id,display_name,short_name,existence_status,government_type_if_known,capital_binding_type,capital_reference_id,capital_lat,capital_lon,parent_scenario_polity_id,subject_status,source_confidence,notes,territorial_authority_role,playability_status,display_name_ja
seven_years_war_1756_08_01,sp_f21df1066af6,pol_holy_roman_empire,Holy Roman Empire,Holy Roman Empire,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,"Constitutional/legal structure of the German lands. STRUCTURAL CONTAINER ONLY: the Empire is NOT the owner or controller of member territory, and no territorial control may ever be derived from imperial membership.",STRUCTURAL_CONTAINER,UNDECIDED,神聖ローマ帝国
seven_years_war_1756_08_01,sp_76fae1189246,pol_habsburg_monarchy,Habsburg Monarchy,Habsburg Monarchy,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,"Composite monarchy of Maria Theresa acting as a single European power; constituents modeled via COMPOSITE_MEMBER_OF, never as one modern-Austria polygon.",DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ハプスブルク君主国
seven_years_war_1756_08_01,sp_185738439d15,pol_bohemia,Kingdom of Bohemia,Bohemia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Bohemian crown lands; imperial electorate.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ボヘミア王国
seven_years_war_1756_08_01,sp_b8fbd2677d89,pol_hungary,Kingdom of Hungary,Hungary,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Hungarian crown lands under the Habsburg monarch; OUTSIDE the Holy Roman Empire (no IMPERIAL_MEMBER_OF row on purpose).,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ハンガリー王国
seven_years_war_1756_08_01,sp_3b59f6554858,pol_austria_archduchy,Archduchy of Austria,Archduchy of Austria,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Core Austrian hereditary lands (simplified aggregate of the Erblande at catalogue stage; finer division deferred).,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,オーストリア大公国
seven_years_war_1756_08_01,sp_fc8d14b938b7,pol_milan,Duchy of Milan,Milan,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Habsburg Lombardy; imperial fief.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ミラノ公国
seven_years_war_1756_08_01,sp_bfcc10d15695,pol_prussia_monarchy,Prussian Monarchy (Hohenzollern lands),Prussian Monarchy,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Modeling construct per Clark: the composite of Hohenzollern territories acting as one monarchy under Frederick II. NOT generated from modern Germany; constituents keep their legal identities.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,プロイセン(ホーエンツォレルン君主国)
seven_years_war_1756_08_01,sp_cc7532a9b0a0,pol_brandenburg,Margraviate of Brandenburg (Electorate),Margraviate of Brandenburg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Electorate inside the Empire.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ブランデンブルク選帝侯領
seven_years_war_1756_08_01,sp_9fbdef6cff18,pol_prussia_kingdom_proper,Kingdom of Prussia (East Prussia),Prussia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Royal title territory OUTSIDE the Holy Roman Empire.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,プロイセン王国本領(東プロイセン)
seven_years_war_1756_08_01,sp_992101257e91,pol_saxony,Electorate of Saxony,Saxony,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ruled by Augustus III in personal union with Poland-Lithuania; the two territories are NEVER merged.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ザクセン選帝侯領
seven_years_war_1756_08_01,sp_85e4cfc5bdb1,pol_bavaria,Electorate of Bavaria,Bavaria,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,バイエルン選帝侯領
seven_years_war_1756_08_01,sp_85427a13732a,pol_palatinate,Electorate of the Palatinate,the Palatinate,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Scattered Rhenish territories.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,プファルツ選帝侯領
seven_years_war_1756_08_01,sp_72ebae9108c2,pol_cologne,Electorate of Cologne,Cologne,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ecclesiastical electorate.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ケルン選帝侯領
seven_years_war_1756_08_01,sp_99913589df76,pol_mainz,Electorate of Mainz,Mainz,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ecclesiastical electorate.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,マインツ選帝侯領
seven_years_war_1756_08_01,sp_562cbb0b9dbd,pol_trier,Electorate of Trier,Trier,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ecclesiastical electorate.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,トリーア選帝侯領
seven_years_war_1756_08_01,sp_64a5681c54c8,pol_wurttemberg,Duchy of Württemberg,Württemberg,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Embedded in the Swabian territorial mosaic.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ヴュルテンベルク公国
seven_years_war_1756_08_01,sp_86475daae411,pol_hesse_kassel,Landgraviate of Hesse-Kassel,Landgraviate of Hesse-Kassel,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Seven Years War belligerent.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ヘッセン=カッセル方伯領
seven_years_war_1756_08_01,sp_e4467b16bcc2,pol_mecklenburg_schwerin,Duchy of Mecklenburg-Schwerin,Mecklenburg-Schwerin,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,メクレンブルク=シュヴェリーン公国
seven_years_war_1756_08_01,sp_e3ccb4be0e64,pol_brunswick_wolfenbuettel,Principality of Brunswick-Wolfenbüttel,Brunswick-Wolfenbüttel,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Seven Years War belligerent.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ブラウンシュヴァイク=ヴォルフェンビュッテル侯領
seven_years_war_1756_08_01,sp_44c79eb0f89c,pol_denmark_norway,Kingdom of Denmark-Norway,Denmark-Norway,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Twin kingdoms governed as one monarchy from Copenhagen; the Schleswig-Holstein condominium complexity is a separate UNRESOLVED audit candidate.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,デンマーク=ノルウェー王国
seven_years_war_1756_08_01,sp_19c7e5bd4aed,pol_sweden,Kingdom of Sweden,Sweden,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Includes Finland; German possession tracked as Swedish Pomerania.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,スウェーデン王国
seven_years_war_1756_08_01,sp_ef0de1f1f6c5,pol_swedish_pomerania,Swedish Pomerania,Swedish Pomerania,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Held by the Swedish crown as an imperial fief — simultaneously a dependency of Sweden and a member territory of the Empire.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,スウェーデン領ポンメルン
seven_years_war_1756_08_01,sp_414738123045,pol_russia,Russian Empire,Russian Empire,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ロシア帝国
seven_years_war_1756_08_01,sp_1effdbf1a454,pol_plc,Polish-Lithuanian Commonwealth,Polish-Lithuanian Commonwealth,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Real union of the Polish Crown and the Grand Duchy of Lithuania treated as one Commonwealth actor; internal duality noted but not subdivided at catalogue stage.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ポーランド・リトアニア共和国
seven_years_war_1756_08_01,sp_44d0fd646611,pol_courland,Duchy of Courland and Semigallia,Courland and Semigallia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,Fief of the Polish-Lithuanian Commonwealth.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,クールラント公国
seven_years_war_1756_08_01,sp_a774bbb1992f,pol_ottoman,Ottoman Empire,Ottoman Empire,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,European sphere in scope for this catalogue; Anatolian/Arab lands out of scope at this stage.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,オスマン帝国
seven_years_war_1756_08_01,sp_00b6c6e536cd,pol_moldavia,Principality of Moldavia,Moldavia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ottoman tributary principality with internal autonomy.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,モルダヴィア公国
seven_years_war_1756_08_01,sp_da916b9a805b,pol_wallachia,Principality of Wallachia,Wallachia,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Ottoman tributary principality with internal autonomy.,DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,ワラキア公国
seven_years_war_1756_08_01,sp_33fb24f91fed,pol_crimea,Crimean Khanate,Crimean Khanate,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,"Vassal khanate of the Ottoman Empire with wide autonomy; the exact legal framing is nuanced, hence MEDIUM.",DEPENDENT_TERRITORIAL_ACTOR,UNDECIDED,クリミア・ハン国
seven_years_war_1756_08_01,sp_23c83e0588b9,pol_swiss_confederacy,Swiss Confederacy,Swiss Confederacy,EXISTS,,UNKNOWN,,,,,UNEVALUATED,HIGH,Confederal structure of thirteen cantons and associates. Registered STRUCTURAL_ONLY: whether cantons or the Confederacy become the gameplay territorial actor is deliberately undecided; cantons are tracked as an aggregation-candidate class.,STRUCTURAL_CONTAINER,UNDECIDED,スイス盟約者団
seven_years_war_1756_08_01,sp_f6ade356ca8d,pol_ragusa,Republic of Ragusa,Ragusa,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,Tributary of the Ottoman Empire.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,ラグーザ共和国
seven_years_war_1756_08_01,sp_20bf1d9af6ea,pol_order_st_john,Order of Saint John (Malta),Order of Saint John,EXISTS,,UNKNOWN,,,,,UNEVALUATED,MEDIUM,Sovereign military-religious order holding the Maltese islands.,DIRECT_TERRITORIAL_ACTOR,UNDECIDED,聖ヨハネ騎士団(マルタ)
